gen,ind,indType,sendType,strategy,alphaBeta,fitness
2000,90,Sender,2,1,0,0
2000,91,Sender,1,1,0,0.5
2000,92,Sender,2,1,0,0
2000,93,Sender,2,1,0,0
2000,94,Sender,2,1,0,0
2000,95,Sender,2,1,0,0
2000,96,Sender,2,1,0,0
2000,97,Sender,1,1,0,0.5
2000,98,Sender,1,1,0,0.5
2000,99,Sender,2,1,0,0
2000,0,Receiver,na,1,0.742747,1
2000,1,Receiver,na,1,1,1
2000,2,Receiver,na,1,1,1
2000,3,Receiver,na,1,1,1
2000,4,Receiver,na,1,1,1
2000,5,Receiver,na,1,1,1
2000,6,Receiver,na,1,1,1
2000,7,Receiver,na,1,1,1
2000,8,Receiver,na,1,1,1
2000,9,Receiver,na,1,1,1
2000,10,Receiver,na,1,1,1
2000,11,Receiver,na,1,1,1
2000,12,Receiver,na,1,1,1
2000,13,Receiver,na,1,1,1
2000,14,Receiver,na,1,1,1
2000,15,Receiver,na,1,1,1
2000,16,Receiver,na,1,1,1
2000,17,Receiver,na,1,1,1
2000,18,Receiver,na,1,1,1
2000,19,Receiver,na,1,1,1
2000,20,Receiver,na,1,1,1
2000,21,Receiver,na,1,1,1
2000,22,Receiver,na,1,1,1
2000,23,Receiver,na,1,1,1
2000,24,Receiver,na,1,1,1
2000,25,Receiver,na,1,0.796354,1
2000,26,Receiver,na,1,1,1
2000,27,Receiver,na,1,1,1
2000,28,Receiver,na,1,0.997152,1
2000,29,Receiver,na,1,1,1
2000,30,Receiver,na,1,1,1
2000,31,Receiver,na,1,1,1
2000,32,Receiver,na,1,1,1
2000,33,Receiver,na,1,1,1
2000,34,Receiver,na,1,1,1
2000,35,Receiver,na,1,1,1
2000,36,Receiver,na,1,1,1
2000,37,Receiver,na,1,1,1
2000,38,Receiver,na,1,1,1
2000,39,Receiver,na,1,1,1
2000,40,Receiver,na,1,1,1
2000,41,Receiver,na,1,0.742747,0
2000,42,Receiver,na,1,1,1
2000,43,Receiver,na,1,1,1
2000,44,Receiver,na,1,1,1
2000,45,Receiver,na,1,1,1
2000,46,Receiver,na,1,1,1
2000,47,Receiver,na,1,1,1
2000,48,Receiver,na,1,1,1
2000,49,Receiver,na,1,1,1
2000,50,Receiver,na,1,1,1
2000,51,Receiver,na,1,1,1
2000,52,Receiver,na,1,1,1
2000,53,Receiver,na,1,1,1
2000,54,Receiver,na,1,1,1
2000,55,Receiver,na,1,1,1
2000,56,Receiver,na,1,1,1
2000,57,Receiver,na,1,1,1
2000,58,Receiver,na,1,0.997152,1
2000,59,Receiver,na,1,1,1
2000,60,Receiver,na,1,1,1
2000,61,Receiver,na,1,1,1
2000,62,Receiver,na,1,1,1
2000,63,Receiver,na,1,1,1
2000,64,Receiver,na,1,1,1
2000,65,Receiver,na,1,1,1
2000,66,Receiver,na,1,1,1
2000,67,Receiver,na,1,1,1
2000,68,Receiver,na,1,1,1
2000,69,Receiver,na,1,1,1
2000,70,Receiver,na,1,1,1
2000,71,Receiver,na,1,0.742747,1
2000,72,Receiver,na,1,1,1
2000,73,Receiver,na,1,1,1
2000,74,Receiver,na,1,1,1
2000,75,Receiver,na,1,1,1
2000,76,Receiver,na,1,1,1
2000,77,Receiver,na,1,1,1
2000,78,Receiver,na,1,1,1
2000,79,Receiver,na,1,1,1
2000,80,Receiver,na,1,1,1
2000,81,Receiver,na,1,1,1
2000,82,Receiver,na,1,1,1
2000,83,Receiver,na,1,1,1
2000,84,Receiver,na,1,1,1
2000,85,Receiver,na,1,1,1
2000,86,Receiver,na,1,1,1
2000,87,Receiver,na,1,1,1
2000,88,Receiver,na,1,1,1
2000,89,Receiver,na,1,1,1
2000,90,Receiver,na,1,1,1
2000,91,Receiver,na,1,1,1
2000,92,Receiver,na,1,1,1
2000,93,Receiver,na,1,0.997152,1
2000,94,Receiver,na,1,1,1
2000,95,Receiver,na,1,1,1
2000,96,Receiver,na,1,1,1
2000,97,Receiver,na,1,1,1
2000,98,Receiver,na,1,1,1
2000,99,Receiver,na,1,0.997152,1
3000,0,Sender,2,1,0,0
3000,1,Sender,2,1,0,0
3000,2,Sender,1,1,0,0.5
3000,3,Sender,1,1,0,0.5
3000,4,Sender,2,1,0,0
3000,5,Sender,1,1,0,0.5
3000,6,Sender,2,1,0,0
3000,7,Sender,1,1,0,0.5
3000,8,Sender,2,1,0,0
3000,9,Sender,2,1,0,0
3000,10,Sender,1,1,0,0.5
3000,11,Sender,2,1,0,0
3000,12,Sender,1,1,0,0.5
3000,13,Sender,1,1,0,0.5
3000,14,Sender,2,1,0,0
3000,15,Sender,2,1,0,0
3000,16,Sender,1,2,0,0
3000,17,Sender,2,1,0,0
3000,18,Sender,1,1,0,0.5
3000,19,Sender,2,1,0,0
3000,20,Sender,2,1,0,0
3000,21,Sender,2,1,0,0
3000,22,Sender,2,1,0,0
3000,23,Sender,2,1,0,0
3000,24,Sender,2,1,0.078079,-0.5
3000,25,Sender,2,1,0,0
3000,26,Sender,2,1,0,0
3000,27,Sender,2,1,0.078079,0
3000,28,Sender,2,1,0,0
3000,29,Sender,2,1,0.078079,0
3000,30,Sender,2,1,0,0
3000,31,Sender,1,1,0,0.5
3000,32,Sender,1,1,0,0.5
3000,33,Sender,2,1,0,0
3000,34,Sender,1,1,0,0.5
3000,35,Sender,2,1,0,0
3000,36,Sender,2,1,0,0
3000,37,Sender,1,1,0,0.5
3000,38,Sender,2,1,0,0
3000,39,Sender,2,1,0,0
3000,40,Sender,2,1,0,0
3000,41,Sender,2,1,0,0
3000,42,Sender,2,1,0,0
3000,43,Sender,2,1,0,0
3000,44,Sender,2,1,0,0
3000,45,Sender,2,1,0,0
3000,46,Sender,2,1,0,0
3000,47,Sender,2,1,0,0
3000,48,Sender,2,1,0,0
3000,49,Sender,2,1,0,0
3000,50,Sender,2,1,0,0
3000,51,Sender,2,1,0,0
3000,52,Sender,1,1,0,0.5
3000,53,Sender,2,1,0,0
3000,54,Sender,1,1,0,0.5
3000,55,Sender,2,1,0,0
3000,56,Sender,2,1,0,0
3000,57,Sender,2,1,0,0
3000,58,Sender,1,1,0,0.5
3000,59,Sender,1,1,0,0.5
3000,60,Sender,2,1,0,0
3000,61,Sender,2,1,0,0
3000,62,Sender,2,1,0,1
3000,63,Sender,2,1,0,0
3000,64,Sender,2,1,0,0
3000,65,Sender,2,1,0,0
3000,66,Sender,2,1,0,0
